"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\chassis_task\chassis_task.h", "C++", 19, 0, 17, 4, 40
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\chassis_task\dr_chassis.c", "C", 0, 385, 61, 32, 478
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\chassis_task\dr_chassis.h", "C++", 55, 0, 17, 7, 79
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\chassis_task\test_chassis_task.c", "C", 0, 99, 8, 19, 126
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\chassis_task\tr_chassis.c", "C", 0, 79, 27, 13, 119
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\computer_task\computer_task.c", "C", 0, 105, 42, 18, 165
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\computer_task\computer_task.h", "C++", 15, 0, 17, 4, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\feedback_task\feedback_task.c", "C", 0, 34, 17, 4, 55
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\feedback_task\feedback_task.h", "C++", 15, 0, 18, 4, 37
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\ins_task\ins_task.c", "C", 0, 178, 31, 16, 225
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\ins_task\ins_task.h", "C++", 24, 0, 17, 9, 50
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\monitor_task\monitor_task.c", "C", 0, 79, 42, 11, 132
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\monitor_task\monitor_task.h", "C++", 23, 0, 44, 13, 80
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\motor_task\motor_task.c", "C", 0, 15, 17, 4, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\motor_task\motor_task.h", "C++", 8, 0, 17, 1, 26
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\6020whip.c", "C", 0, 142, 22, 16, 180
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\fric.c", "C", 0, 153, 6, 30, 189
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\mechanism_task.c", "C", 0, 43, 17, 9, 69
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\potGrip.c", "C", 0, 22, 17, 5, 44
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task.c", "C", 0, 157, 8, 20, 185
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task.h", "C++", 8, 0, 17, 2, 27
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task12.c", "C", 0, 32, 1, 5, 38
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task123.c", "C", 0, 18, 0, 8, 26
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task_dummy.c", "C", 0, 18, 0, 4, 22
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task_fetch.c", "C", 0, 119, 19, 6, 144
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task_grip.c", "C", 0, 85, 17, 10, 112
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\swerve.c", "C", 0, 75, 17, 11, 103
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\whiparrow.c", "C", 0, 121, 18, 16, 155
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\user_init\user_init.c", "C", 0, 38, 19, 3, 60
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\user_init\user_init.h", "C++", 4, 0, 17, 2, 23
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Components\steer\steer.c", "C", 0, 46, 21, 10, 77
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Components\steer\steer.h", "C++", 24, 0, 17, 5, 46
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Components\swerve\swerve.c", "C", 0, 66, 73, 13, 152
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Components\swerve\swerve.h", "C++", 26, 0, 29, 12, 67
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\computer\computer_usb.c", "C", 0, 47, 28, 12, 87
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\computer\computer_usb.h", "C++", 15, 0, 17, 4, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\encoder\can_encoder.c", "C", 0, 80, 17, 8, 105
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\encoder\can_encoder.h", "C++", 24, 0, 17, 7, 48
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\encoder\pwm_encoder.c", "C", 0, 5, 21, 3, 29
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\encoder\pwm_encoder.h", "C++", 9, 0, 17, 3, 29
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\interboard_spi\interboard_spi.c", "C", 0, 211, 57, 38, 306
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\interboard_spi\interboard_spi.h", "C++", 28, 0, 25, 5, 58
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\mcp2515\mcp2515.c", "C", 0, 270, 125, 64, 459
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\mcp2515\mcp2515.h", "C++", 11, 0, 17, 4, 32
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\mcp2515\mcp2515_reg.h", "C++", 301, 0, 46, 59, 406
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\motor.c", "C", 0, 95, 17, 12, 124
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\motor.h", "C++", 64, 0, 18, 10, 92
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\rm_motor.c", "C", 0, 355, 20, 29, 404
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\rm_motor.h", "C++", 19, 0, 17, 5, 41
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\rmd_motor.c", "C", 0, 248, 20, 21, 289
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\rmd_motor.h", "C++", 45, 0, 17, 6, 68
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\vesc_motor.c", "C", 0, 203, 44, 17, 264
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\motor\vesc_motor.h", "C++", 42, 0, 17, 4, 63
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\ops\ops.c", "C", 0, 89, 50, 18, 157
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\ops\ops.h", "C++", 21, 0, 18, 6, 45
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\sbus\sbus.c", "C", 0, 104, 50, 22, 176
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\sbus\sbus.h", "C++", 32, 0, 17, 6, 55
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\servo\servo.c", "C", 0, 88, 17, 6, 111
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OffBoard\servo\servo.h", "C++", 25, 0, 17, 6, 48
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\can_comm\can_comm.c", "C", 0, 67, 18, 12, 97
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\can_comm\can_comm.h", "C++", 31, 0, 17, 7, 55
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\flash\flash_io.c", "C", 0, 76, 33, 6, 115
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\flash\flash_io.h", "C++", 35, 0, 19, 7, 61
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\imu\imu.c", "C", 0, 223, 26, 54, 303
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\imu\imu.h", "C++", 51, 0, 9, 10, 70
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\imu\imu_comm.c", "C", 0, 83, 17, 12, 112
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\imu\imu_comm.h", "C++", 23, 0, 18, 7, 48
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\imu\ist8310reg.h", "C++", 18, 0, 3, 7, 28
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\imu\mpu6500reg.h", "C++", 342, 0, 3, 147, 492
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\pwm_input\pwm_input.c", "C", 0, 55, 19, 4, 78
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\pwm_input\pwm_input.h", "C++", 13, 0, 17, 4, 34
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\OnBoard\user_it.c", "C", 0, 89, 51, 11, 151
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\bezier_trajectory.c", "C", 0, 40, 38, 4, 82
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\bezier_trajectory.h", "C++", 13, 0, 17, 3, 33
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\mid_filter.c", "C", 0, 0, 0, 1, 1
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\quintic_trajectory.c", "C", 0, 51, 43, 5, 99
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\quintic_trajectory.h", "C++", 14, 0, 17, 5, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\s_curve.c", "C", 0, 151, 42, 28, 221
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\s_curve.h", "C++", 36, 0, 17, 3, 56
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\user_lib.c", "C", 0, 154, 52, 22, 228
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\algorithm\user_lib.h", "C++", 44, 0, 18, 10, 72
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\ADRC.c", "C", 0, 133, 84, 25, 242
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\ADRC.h", "C++", 51, 0, 13, 13, 77
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\FSF.c", "C", 0, 56, 17, 8, 81
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\FSF.h", "C++", 14, 0, 17, 5, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\PID.c", "C", 0, 108, 17, 15, 140
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\PID.h", "C++", 34, 0, 17, 6, 57
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\controller.c", "C", 0, 15, 32, 6, 53
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\controller\controller.h", "C++", 38, 0, 17, 8, 63
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\cpu_utils\cpu_utils.c", "C", 0, 46, 84, 15, 145
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\cpu_utils\cpu_utils.h", "C++", 14, 0, 44, 8, 66
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\fsm\fsm.c", "C", 0, 22, 17, 2, 41
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\fsm\fsm.h", "C++", 19, 0, 49, 6, 74
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\stopwatch\stopwatch.c", "C", 0, 50, 45, 7, 102
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Utils\stopwatch\stopwatch.h", "C++", 15, 0, 17, 5, 37
"Total", "-", 1662, 5323, 2417, 1219, 10621
